symbol,trade_date,opening_realized_variance,target_realized_variance
AAPL,2025-11-17,9.636018363369079e-06,9.636018363369079e-06
AAPL,2025-11-18,9.620808728094097e-06,9.620808728094097e-06
AAPL,2025-11-19,9.605635075387705e-06,9.605635075387705e-06
AAPL,2025-11-20,9.590497291837905e-06,9.590497291837905e-06
AAPL,2025-11-21,9.575395264474243e-06,9.575395264474243e-06
AAPL,2025-11-24,9.560328880777168e-06,9.560328880777168e-06
AAPL,2025-11-25,9.545298028664875e-06,9.545298028664875e-06
AAPL,2025-11-26,9.530302596496847e-06,9.530302596496847e-06
AAPL,2025-11-27,9.515342473070684e-06,9.515342473070684e-06
AAPL,2025-11-28,9.500417547619851e-06,9.500417547619851e-06
AAPL,2025-12-01,9.485527709814062e-06,9.485527709814062e-06
AAPL,2025-12-02,9.47067284975273e-06,9.47067284975273e-06
AAPL,2025-12-03,9.455852857963527e-06,9.455852857963527e-06
AAPL,2025-12-04,9.441067625405154e-06,9.441067625405154e-06
AAPL,2025-12-05,9.426317043463075e-06,9.426317043463075e-06
AAPL,2025-12-08,9.411601003944047e-06,9.411601003944047e-06
AAPL,2025-12-09,9.396919399075685e-06,9.396919399075685e-06
AAPL,2025-12-10,9.382272121509417e-06,9.382272121509417e-06
AAPL,2025-12-11,9.36765906431305e-06,9.36765906431305e-06
AAPL,2025-12-12,9.353080120969033e-06,9.353080120969033e-06
AAPL,2025-12-15,9.338535185374329e-06,9.338535185374329e-06
AAPL,2025-12-16,9.324024151840122e-06,9.324024151840122e-06
AAPL,2025-12-17,9.309546915087674e-06,9.309546915087674e-06
AAPL,2025-12-18,9.295103370244347e-06,9.295103370244347e-06
AAPL,2025-12-19,9.2806934128431e-06,9.2806934128431e-06
AAPL,2025-12-22,9.266316938826106e-06,9.266316938826106e-06
AAPL,2025-12-23,9.25197384453559e-06,9.25197384453559e-06
AAPL,2025-12-24,9.237664026713196e-06,9.237664026713196e-06
AAPL,2025-12-25,9.223387382500489e-06,9.223387382500489e-06
AAPL,2025-12-26,9.20914380943892e-06,9.20914380943892e-06
AAPL,2025-12-29,9.19493320546096e-06,9.19493320546096e-06
AAPL,2025-12-30,9.180755468895475e-06,9.180755468895475e-06
AAPL,2025-12-31,9.166610498462825e-06,9.166610498462825e-06
AAPL,2026-01-01,9.152498193268753e-06,9.152498193268753e-06
AAPL,2026-01-02,9.138418452815658e-06,9.138418452815658e-06
AAPL,2026-01-05,9.124371176982055e-06,9.124371176982055e-06
AAPL,2026-01-06,9.110356266039103e-06,9.110356266039103e-06
AAPL,2026-01-07,9.09637362063673e-06,9.09637362063673e-06
AAPL,2026-01-08,9.08242314180615e-06,9.08242314180615e-06
AAPL,2026-01-09,9.068504730958755e-06,9.068504730958755e-06
AAPL,2026-01-12,9.054618289882216e-06,9.054618289882216e-06
AAPL,2026-01-13,9.040763720741648e-06,9.040763720741648e-06
AAPL,2026-01-14,9.026940926072542e-06,9.026940926072542e-06
AAPL,2026-01-15,9.013149808787617e-06,9.013149808787617e-06
AAPL,2026-01-16,8.999390272166458e-06,8.999390272166458e-06
