split_index,model_name,mae,rmse,qlike
0,persistence,7.197057635721105e-09,7.197096532379305e-09,-11.280769718362397
0,rolling_5d,2.1658359337717684e-08,2.165847663394424e-08,-11.280760092886378
0,linear,2.4763254191347352e-14,2.7288786354069565e-14,-11.280770918748315
1,persistence,7.1140440906594815e-09,7.114082242448478e-09,-11.288500972130155
1,rolling_5d,2.1408286427362285e-08,2.1408401475063393e-08,-11.288491420880082
1,linear,2.5171494595177363e-14,2.7591102678366862e-14,-11.288502163270138
2,persistence,7.0323023344767995e-09,7.032339758448683e-09,-11.296202454623769
2,rolling_5d,2.1162048633338856e-08,2.116216148404234e-08,-11.29619297674435
2,linear,2.548090590522717e-14,2.782888332102729e-14,-11.296203636624227
3,persistence,6.951808105352378e-09,6.9518448181050606e-09,-11.303874394249945
3,rolling_5d,2.0919572717739824e-08,2.0919683421598652e-08,-11.303864988898995
3,linear,2.3275298517960035e-14,2.5733681709580193e-14,-11.303875567215673
4,persistence,6.872537693937014e-09,6.872573711628976e-09,-11.311517016796916
4,rolling_5d,2.0680787113829224e-08,2.068089571966774e-08,-11.311507683145074
4,linear,2.3198898009590183e-14,2.546899429341867e-14,-11.311518180831099
